id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355636173172072454,1355636173172072454,2021-01-30 22:57:04 CET,2021-01-30,22:57:04,+0200,951650739805478914,melstone31,Dark Pool MelStone,,GS Virtual Tech &amp; Internet Conf - 🗒️Attendees 02/11/21   $NATI $AKAM $CTSH $MU $AVT $GLW $ST $EEFT $FLEX $ASML $CRTO $AVYA $PI $CHGG $CHKP $FSR $KLAC $SWKS $QRVO $WDC $LITE $YELP $CRSP $ANET $APTV $BAH $ICE $RPD $ADTN $EA $LYFT $MTCH $STM $V $CDAY $LRCX $ACN $QCOM $U $NEWR $PEGA,en,[],[],[],1,2,6,[],"['nati', 'akam', 'ctsh', 'mu', 'avt', 'glw', 'st', 'eeft', 'flex', 'asml', 'crto', 'avya', 'pi', 'chgg', 'chkp', 'fsr', 'klac', 'swks', 'qrvo', 'wdc', 'lite', 'yelp', 'crsp', 'anet', 'aptv', 'bah', 'ice', 'rpd', 'adtn', 'ea', 'lyft', 'mtch', 'stm', 'v', 'cday', 'lrcx', 'acn', 'qcom', 'u', 'newr', 'pega']",https://twitter.com/MelStone31/status/1355636173172072454,False,https://twitter.com/MelStone31/status/1355635710636785666,0,,,,,,,,[],,,,
1355560533940793352,1355560533940793352,2021-01-30 17:56:31 CET,2021-01-30,17:56:31,+0200,1351544588519915520,vijayraj11122,Vijay,,$ACN $FB $NFLX $DLTR $EA $SPY $SPX $DJIA $HD $GS $BA $GDX $VZ $WDC $AMD $ADSK $V $CAT $JPM $PLUG  To enhance your experience in trading and get instant help click here  https://t.co/gV8jcKuUpo,en,[],[],['https://pbs.twimg.com/media/Es_rHu6XYAMfrac.png'],0,0,1,[],"['acn', 'fb', 'nflx', 'dltr', 'ea', 'spy', 'spx', 'djia', 'hd', 'gs', 'ba', 'gdx', 'vz', 'wdc', 'amd', 'adsk', 'v', 'cat', 'jpm', 'plug']",https://twitter.com/Vijayraj11122/status/1355560533940793352,False,,1,https://pbs.twimg.com/media/Es_rHu6XYAMfrac.png,,,,,,,[],,,,
1355545378289049603,1355545378289049603,2021-01-30 16:56:17 CET,2021-01-30,16:56:17,+0200,884908837056237569,abg_analytics,ABG Analytics,,Most oversold large-cap stocks this week (RSI &lt; 30). Full reports at:  https://t.co/OsSE2vpk0f $USB $MS $UNH $V $CL $PG $HON $UNP $ACN $BKNG $SBUX $NKE  https://t.co/srQfXQeHNr,en,[],['http://www.abg-analytics.com/overbought-oversold.shtml'],['https://pbs.twimg.com/media/Es_dTVeXIAcJO8u.png'],0,0,2,[],"['usb', 'ms', 'unh', 'v', 'cl', 'pg', 'hon', 'unp', 'acn', 'bkng', 'sbux', 'nke']",https://twitter.com/ABG_Analytics/status/1355545378289049603,False,,1,https://pbs.twimg.com/media/Es_dTVeXIAcJO8u.png,,,,,,,[],,,,
1355524255593598981,1355524255593598981,2021-01-30 15:32:21 CET,2021-01-30,15:32:21,+0200,1351544588519915520,vijayraj11122,Vijay,,Join now $TSLA $NVDA  $MU $AMZN $MSFT $BABA $NFLX $ADBE $AXP $IBM $CSCO $CVX $INTC $DD $DIS $MCD $MMM $PG $TRV $UNH $NKE $UTX $VZ $WBA $WYNN $XLNX $ACN $FB $NFLX $DLTR $EA $SPY $SPX $DJIA $HD $GS $BA $GDX $VZ $WDC $AMD $ADSK $V $CAT $JPM  https://t.co/fnW1YUGChe,en,[],[],['https://pbs.twimg.com/media/Es_KH8bXIAkviuM.jpg'],0,0,0,[],"['tsla', 'nvda', 'mu', 'amzn', 'msft', 'baba', 'nflx', 'adbe', 'axp', 'ibm', 'csco', 'cvx', 'intc', 'dd', 'dis', 'mcd', 'mmm', 'pg', 'trv', 'unh', 'nke', 'utx', 'vz', 'wba', 'wynn', 'xlnx', 'acn', 'fb', 'nflx', 'dltr', 'ea', 'spy', 'spx', 'djia', 'hd', 'gs', 'ba', 'gdx', 'vz', 'wdc', 'amd', 'adsk', 'v', 'cat', 'jpm']",https://twitter.com/Vijayraj11122/status/1355524255593598981,False,,1,https://pbs.twimg.com/media/Es_KH8bXIAkviuM.jpg,,,,,,,[],,,,
1355523730118565893,1355523730118565893,2021-01-30 15:30:16 CET,2021-01-30,15:30:16,+0200,1351544588519915520,vijayraj11122,Vijay,,We are glad to help this member reach his goal. Check out what he said in his updated review of our server $CMCSA $PEP $SAP $XOM $ABBV $ABT $TM $CRM $ORCL $CVX $ASML $LLY $TMO $AMGN $AZN $NKECHL $COST $MCD $ACN $BMY $DHR $NEE $SNY $CHTR $MDT $TMUS  https://t.co/toYFq1Jax3,en,[],[],['https://pbs.twimg.com/media/Es_JmAaWMAAKJu-.jpg'],0,0,0,[],"['cmcsa', 'pep', 'sap', 'xom', 'abbv', 'abt', 'tm', 'crm', 'orcl', 'cvx', 'asml', 'lly', 'tmo', 'amgn', 'azn', 'nkechl', 'cost', 'mcd', 'acn', 'bmy', 'dhr', 'nee', 'sny', 'chtr', 'mdt', 'tmus']",https://twitter.com/Vijayraj11122/status/1355523730118565893,False,,1,https://pbs.twimg.com/media/Es_JmAaWMAAKJu-.jpg,,,,,,,[],,,,
1355520976855977986,1355520976855977986,2021-01-30 15:19:19 CET,2021-01-30,15:19:19,+0200,197338005,horstemker,Horst Emker,,"A turbulent week brings stocks down Dow        -2,0% S&amp;P         -1,1% Nasdaq    +1,4% for January No panic sales as I invest LT  $ABNB   $ACN  $AiRBUS  $AMZN  $AAPL  $BABA  $BE  $CRWD  $DOCU  $EDU  $ETSY  $FB  $FIVN  $FSLY  $FVRR  $GOOGL  $LULU  $MA  $MDB  $MELI  $MSFT  $NESMx",en,[],[],[],1,1,1,[],"['abnb', 'acn', 'airbus', 'amzn', 'aapl', 'baba', 'be', 'crwd', 'docu', 'edu', 'etsy', 'fb', 'fivn', 'fsly', 'fvrr', 'googl', 'lulu', 'ma', 'mdb', 'meli', 'msft', 'nesmx']",https://twitter.com/HorstEmker/status/1355520976855977986,False,,0,,,,,,,,[],,,,
1355478602092044289,1355478602092044289,2021-01-30 12:30:56 CET,2021-01-30,12:30:56,+0200,716737614771044352,optioncharts,max pain,,$ACN open interest for maturity 02/05/2021. High put=247.50 High call=295.00 PutCallRatio=1.02 #maxpain #options  https://t.co/gYQJPYVEof  https://t.co/lTSr7GSh46,en,[],['http://maximum-pain.com/options/ACN?m=02%2f05%2f2021'],['https://pbs.twimg.com/media/Es-gmyRXAAEiCvW.jpg'],0,0,0,"['maxpain', 'options']",['acn'],https://twitter.com/optioncharts/status/1355478602092044289,False,,1,https://pbs.twimg.com/media/Es-gmyRXAAEiCvW.jpg,,,,,,,[],,,,
1355456387485216775,1355456387485216775,2021-01-30 11:02:40 CET,2021-01-30,11:02:40,+0200,1022006086872821762,communiststocks,Communist Stock Analysis,,Accenture - $ACN  💰 QUOTE $ACN was DOWN ⬇ on Fri Jan 29 Closed at 241.92 USD for a -2.98% loss from previous close 📉 📉 📉  📊 ANALYSIS Accenture should be nationalized ☭ ☭ ☭,en,[],[],[],0,0,0,[],"['acn', 'acn']",https://twitter.com/communiststocks/status/1355456387485216775,False,,0,,,,,,,,[],,,,
1355451315816550402,1355451315816550402,2021-01-30 10:42:31 CET,2021-01-30,10:42:31,+0200,374729426,tickeron,Tickeron,,"$ACN in Uptrend: price may jump up because it broke its lower Bollinger Band on January 27, 2021. View odds for this and other indicators:  https://t.co/7cWAqUHWCN #Accentureplc #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/J9ZtP8zFWj",en,[],['https://srnk.us/go/2497212'],['https://pbs.twimg.com/media/Es-HyfIVEAAqCIx.jpg'],0,0,0,"['accentureplc', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['acn'],https://twitter.com/Tickeron/status/1355451315816550402,False,,1,https://pbs.twimg.com/media/Es-HyfIVEAAqCIx.jpg,,,,,,,[],,,,
1355334453887791107,1355334453887791107,2021-01-30 02:58:09 CET,2021-01-30,02:58:09,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,"$IGPK Share Price To Rise, Announcement Of Joint Venture With Top US Ivy League University  https://t.co/Mv3xmUJu9A  $EXEL $SREpA $RCL $SPG $CERN $MULE $RARS $BIPH $ROST $OCLR $ACN $MYO $NAP",en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,0,0,[],"['igpk', 'exel', 'srepa', 'rcl', 'spg', 'cern', 'mule', 'rars', 'biph', 'rost', 'oclr', 'acn', 'myo', 'nap']",https://twitter.com/askwarrenbuffet/status/1355334453887791107,False,,0,,,,,,,,[],,,,
